id,nombre_curso,anio,categoria_id
1,"CURSO DE CAPACITACION DOCENTE EN DESARROLLO DE COMPETENCIAS GENERICAS DE LOS CURSOS DE ESTUDIOS GENERALES DE LA UNA PUNO",2024,5
2,"CURSO DE CAPACITACION PARA LA IMPLEMENTACION DEL MODELO EDUCATIVO 2020-2025 V2.0 EN LOS PROGRAMAS DE ESTUDIOS DEL AREA DE INGENIERIAS DE LA UNA-PUNO",2020,5
3,"CURSO DE FORTALECIMIENTO DE CAPACIDADES DE LOS DOCENTES PARA LA ATENCION DE NECESIDADES EDUCATIVAS ESPECIALES DE ESTUDIANTES EN EL NIVEL SUPERIOR DEL AREA DE INGENIERIAS DE LA UNA – PUNO",2022,5
4,"CURSO DE INDUCCION AL DISENO DE SESIONES DE APRENDIZAJE DE LA UNA-PUNO",2022,5
5,"CURSO TALLER DE ADAPTACIONES RAZONABLES EN EL PROCESO DE ENSENANZA - APRENDIZAJE PARA LA ATENCION DE NECESIDADES EDUCATIVAS ESPECIALES POR DISCAPACIDAD EN LAS AREAS DE BIOMEDICAS, INGENIERIAS Y SOCIALES DE LA UNA PUNO",2024,5
6,"CURSO TALLER DE ELABORACION DEL SILABO UNIVERSITARIO DE LA UNA-PUNO",2022,5
7,"CURSO TALLER DE ELABORACION DEL SILABO UNIVERSITARIO EN EL AREA DE BIOMEDICAS, INGENIERIAS Y SOCIALES DE LA UNA PUNO",2024,5
8,"CURSO TALLER DE ELABORACION DEL SILABO UNIVERSITARIO EN EL AREA DE INGENIERIAS DE LA UNA PUNO 2025",2025,5
9,"CURSO TALLER DE ELABORACION DEL SILABO UNIVERSITARIO EN EL AREA DE INGENIERIAS Y BIOMEDICAS DE LA UNA PUNO",2024,5
10,"CURSO TALLER DE ESTRATEGIAS DE ENSENANZA EMPATICA Y FLEXIBLE EN LA EDUCACION SUPERIOR UNIVERSITARIA PARA LAS AREAS DE BIOMEDICAS, INGENIERIAS Y SOCIALES DE LA UNA PUNO",2024,5
11,"CURSO TALLER DE EVALUACION CURRICULAR 2021 DEL CURRICULO FLEXIBLE POR COMPETENCIAS 2015-2019, VERSION 3.0 DE LOS PROGRAMAS DE ESTUDIOS DEL AREA DE INGENIERIAS II DE LA UNA-PUNO",2021,5
